name,address,category,phone,website,rating,total_ratings,lat,lng,types,hours,place_id
Lakeland Air Conditioning Company,"1220 George Jenkins Blvd, Lakeland, FL 33815, USA",Hvac Contractor,(863) 859-4090,http://thelakelandac.com/,4.9,1242,28.0430792,-81.974927,"establishment,general_contractor,point_of_interest","[""Monday: 8:00\u202fAM\u2009\u2013\u20097:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20097:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20097:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20097:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20097:00\u202fPM"", ""Saturday: 8:00\u202fAM\u2009\u2013\u20097:00\u202fPM"", ""Sunday: 8:00\u202fAM\u2009\u2013\u20097:00\u202fPM""]",ChIJsd-iWipB3YgRgyU68prsVLc
"Springer Bros. Air Conditioning & Heating, LLC","41 Lake Morton Dr #25, Lakeland, FL 33801, USA",Hvac Contractor,(863) 688-0448,https://springerbros.net/?utm_source=Website&utm_medium=GMB,4.9,525,28.0403648,-81.9528918,"establishment,general_contractor,point_of_interest,store","[""Monday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]",ChIJAftzqEo_3YgR9oW2a0zk7_U
"J. Molnar Heating & Cooling, Inc.","440 S Combee Rd, Lakeland, FL 33801, USA",Hvac Contractor,(863) 333-4916,http://www.molnarair.com/,5,677,28.0397057,-81.9075981,"establishment,general_contractor,point_of_interest","[""Monday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Saturday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Sunday: Closed""]",ChIJXeu3xsw93YgRT8QbIF59WGM
Graham Heating & Air Conditioning - Lakeland,"2201 S Combee Rd, Lakeland, FL 33801, USA",Hvac Contractor,(863) 329-6770,https://www.grahamac.com/lakeland,4.8,184,28.0172635,-81.9086426,"establishment,general_contractor,point_of_interest","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",ChIJAWWpw5A_3YgRLiLwd4xI1V0
ACS Home Services- Lakeland,"122 E Main St, Lakeland, FL 33801, USA",Hvac Contractor,(863) 215-6581,https://www.acshomeservices.com/lakeland/,4.9,75,28.0443197,-81.9564222,"electrician,establishment,general_contractor,plumber,point_of_interest","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",ChIJAzMYZvs53YgROZ5UZ0oWobc
Pro Air Heating and Cooling,"4798 Florida Ave S, Lakeland, FL 33813, USA",Hvac Contractor,(863) 683-4499,http://www.proairheatingcooling.com/,5,429,27.9765736,-81.9569554,"establishment,general_contractor,point_of_interest","[""Monday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]",ChIJn9YAPnc83YgRCfRZD07q8nw
Ryals Brothers Inc.,"2508 N Crystal Lake Dr, Lakeland, FL 33801, USA",Hvac Contractor,(863) 665-8231,https://www.ryalsbrothers.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,5,194,28.0283692,-81.9089001,"establishment,general_contractor,point_of_interest","[""Monday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]",ChIJsYrKnqc_3YgRWTF6eSnAVzs
Expedited Heat & Air,"3710 Airport Commerce Dr suite 2, Lakeland, FL 33811, USA",Hvac Contractor,(863) 320-1776,https://expeditedheatandair.com/,4.8,671,27.9975718,-82.02125459999999,"establishment,general_contractor,plumber,point_of_interest,store","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",ChIJM-XPXbk53YgRvk4DNXWHxFI
"Price Busters Heating & Air Conditioning, LLC","114 S Eastside Dr, Lakeland, FL 33801, USA",Hvac Contractor,(863) 450-3127,https://www.pricebustersair.com/,4.8,332,28.0434239,-81.9102951,"establishment,general_contractor,point_of_interest","[""Monday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Saturday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Sunday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM""]",ChIJkwYT9Tk43YgRKjW8zyuHBIg
Rideout & Sons Air Conditioning and Heating,"508 N Ingraham Ave, Lakeland, FL 33801, USA",Hvac Contractor,(863) 644-8852,http://rideoutandsons.com/,4.7,117,28.0489697,-81.94538399999999,"establishment,general_contractor,point_of_interest","[""Monday: 8:00\u202fAM\u2009\u2013\u20094:30\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20094:30\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20094:30\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20094:30\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20094:30\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]",ChIJZ-3RrE8_3YgRy-ZTM5qRT14
