name,address,category,phone,website,rating,total_ratings,lat,lng,types,place_id
Lakeland Air Conditioning Company,"1220 George Jenkins Blvd, Lakeland, FL 33815, USA",Hvac Contractor,(863) 859-4090,http://thelakelandac.com/,4.9,1242,28.0430792,-81.974927,"establishment,general_contractor,point_of_interest",ChIJsd-iWipB3YgRgyU68prsVLc
"Springer Bros. Air Conditioning & Heating, LLC","41 Lake Morton Dr #25, Lakeland, FL 33801, USA",Hvac Contractor,(863) 688-0448,https://springerbros.net/?utm_source=Website&utm_medium=GMB,4.9,525,28.0403648,-81.9528918,"establishment,general_contractor,point_of_interest,store",ChIJAftzqEo_3YgR9oW2a0zk7_U
"J. Molnar Heating & Cooling, Inc.","440 S Combee Rd, Lakeland, FL 33801, USA",Hvac Contractor,(863) 333-4916,http://www.molnarair.com/,5,677,28.0397057,-81.9075981,"establishment,general_contractor,point_of_interest",ChIJXeu3xsw93YgRT8QbIF59WGM
Graham Heating & Air Conditioning - Lakeland,"2201 S Combee Rd, Lakeland, FL 33801, USA",Hvac Contractor,(863) 329-6770,https://www.grahamac.com/lakeland,4.8,186,28.0172635,-81.9086426,"establishment,general_contractor,point_of_interest",ChIJAWWpw5A_3YgRLiLwd4xI1V0
ACS Home Services- Lakeland,"122 E Main St, Lakeland, FL 33801, USA",Hvac Contractor,(863) 215-6581,https://www.acshomeservices.com/lakeland/,4.9,75,28.0443197,-81.9564222,"electrician,establishment,general_contractor,plumber,point_of_interest",ChIJAzMYZvs53YgROZ5UZ0oWobc
Pro Air Heating and Cooling,"4798 Florida Ave S, Lakeland, FL 33813, USA",Hvac Contractor,(863) 683-4499,http://www.proairheatingcooling.com/,5,429,27.9765736,-81.9569554,"establishment,general_contractor,point_of_interest",ChIJn9YAPnc83YgRCfRZD07q8nw
Ryals Brothers Inc.,"2508 N Crystal Lake Dr, Lakeland, FL 33801, USA",Hvac Contractor,(863) 665-8231,https://www.ryalsbrothers.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,5,194,28.0283692,-81.9089001,"establishment,general_contractor,point_of_interest",ChIJsYrKnqc_3YgRWTF6eSnAVzs
Expedited Heat & Air,"3710 Airport Commerce Dr suite 2, Lakeland, FL 33811, USA",Hvac Contractor,(863) 320-1776,https://expeditedheatandair.com/,4.8,671,27.9975718,-82.02125459999999,"establishment,general_contractor,plumber,point_of_interest,store",ChIJM-XPXbk53YgRvk4DNXWHxFI
ProCare Lakeland HVAC Repair,"5902 Woodhaven Dr, Lakeland, FL 33811, USA",Hvac Contractor,(863) 351-0854,https://procarelakelandhvacexperts.com/,5,25,27.9580146,-82.0231292,"establishment,general_contractor,point_of_interest",ChIJY8wX0eA73YgRQ5vsOHDacLs
"Price Busters Heating & Air Conditioning, LLC","114 S Eastside Dr, Lakeland, FL 33801, USA",Hvac Contractor,(863) 450-3127,https://www.pricebustersair.com/,4.8,332,28.0434239,-81.9102951,"establishment,general_contractor,point_of_interest",ChIJkwYT9Tk43YgRKjW8zyuHBIg
Rideout & Sons Air Conditioning and Heating,"508 N Ingraham Ave, Lakeland, FL 33801, USA",Hvac Contractor,(863) 644-8852,http://rideoutandsons.com/,4.7,117,28.0489697,-81.94538399999999,"establishment,general_contractor,point_of_interest",ChIJZ-3RrE8_3YgRy-ZTM5qRT14
Enjoy Heating & Cooling,"2229 E Main St, Lakeland, FL 33801, USA",Hvac Contractor,(863) 667-3200,http://www.enjoyac.com/,4.9,172,28.0444431,-81.9146608,"establishment,general_contractor,point_of_interest",ChIJOSGzXD0_3YgRLYBG2kE6uQM
American Air Repair,"1819 Blazers Trail, Lakeland, FL 33809, USA",Hvac Contractor,(813) 802-2183,https://americanairrepairllc.com/?utm_source=omg-gbp&utm_medium=webclick,5,352,28.200166,-81.9856363,"establishment,general_contractor,point_of_interest",ChIJAQCUIw2SwogRKL9MJIEIhXQ
CAMS A/c -N- Plumbing,"2315 Timbercreek Loop E, Lakeland, FL 33805, USA",Hvac Contractor,(863) 279-8743,https://www.camsairconditioning.com/,5,109,28.0740428,-81.8896783,"establishment,general_contractor,point_of_interest",ChIJ_16NAVxB3YgRBpWkqwb3M-0
Egberts Electric and Air Conditioning,"5675 New Tampa Hwy suite 12, Lakeland, FL 33815, USA",Hvac Contractor,(863) 262-7465,https://egbertsair.com/heat-pump-repair-in-lakeland-fl/?utm_source=google&utm_medium=organic&utm_campaign=gbp_lakeland,4.8,1612,28.0329528,-82.03307149999999,"electrician,establishment,general_contractor,point_of_interest",ChIJu_QuhSGKNmER3iqBItztcdQ
